City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,4.16,82,96,4.6,US,1682636461
1,ust-nera,64.5667,143.2,-2.97,81,23,0.95,RU,1682636461
2,weno,7.4515,151.8468,25.97,89,100,1.54,FM,1682635890
3,stanley,54.868,-1.6985,7.09,82,20,3.09,GB,1682636379
4,olonkinbyen,70.9221,-8.7187,-1.72,95,100,10.8,SJ,1682636462
5,waitangi,-43.9535,-176.5597,12.68,78,100,0.89,NZ,1682636462
6,isafjordur,66.0755,-23.124,-1.6,65,13,3.12,IS,1682636463
7,port-aux-francais,-49.35,70.2167,5.8,68,84,12.3,TF,1682636464
8,flying fish cove,-10.4217,105.6791,27.07,82,100,7.87,CX,1682635872
9,torbali,38.1519,27.3622,11.57,80,45,3.16,TR,1682636465
10,ash shatrah,31.4117,46.1742,26.25,18,0,0.29,IQ,1682636465
11,geraldton,-28.7667,114.6,10.23,81,0,5.14,AU,1682636465
12,pandan,14.0453,124.1694,27.5,83,20,4.27,PH,1682636466
13,quiberon,47.4841,-3.1196,15.04,94,100,0.45,FR,1682636467
14,acarau,-2.8856,-40.12,24.36,89,100,2.33,BR,1682636467
15,lasem,-6.6922,111.4527,25.43,89,94,1.58,ID,1682636467
16,kupang,-10.1667,123.5833,25.32,88,75,3.6,ID,1682636468
17,luderitz,-26.6481,15.1594,15.32,69,2,5.02,NA,1682636468
18,gadzhiyevo,69.2551,33.3362,-4.47,85,17,5.21,RU,1682636468
19,tofol,5.3248,163.0078,25.95,89,100,6.51,FM,1682636468
20,kone,-21.0595,164.8658,24.72,70,61,3.93,NC,1682636469
21,alo,7.4178,6.7371,24.51,85,100,0.24,NG,1682636469
22,melilla,35.2937,-2.9383,19.21,82,0,2.57,ES,1682636469
23,blackmans bay,-43.0167,147.3167,18.07,81,24,4.33,AU,1682636469
24,nagqu,31.5,92.0,-1.87,87,100,2.0,CN,1682636469
25,iqaluit,63.7506,-68.5145,-1.15,100,100,5.66,CA,1682636470
26,punta arenas,-53.15,-70.9167,5.06,65,0,2.06,CL,1682636270
27,kencong,-8.2833,113.3667,24.51,92,98,0.98,ID,1682636471
28,ushuaia,-54.8,-68.3,5.79,65,40,8.23,AR,1682636471
29,lazaro cardenas,17.9583,-102.2,28.34,54,100,4.81,MX,1682635911
30,albany,42.6001,-73.9662,14.96,49,45,0.79,US,1682636471
31,bethel,41.3712,-73.414,12.42,79,86,1.5,US,1682636472
32,song cau,13.45,109.2167,24.53,89,60,1.58,VN,1682636472
33,eureka,40.8021,-124.1637,34.3,68,15,1.79,US,1682636473
34,kourou,5.1552,-52.6478,25.03,92,98,2.51,GF,1682636404
35,puerto natales,-51.7236,-72.4875,3.62,94,79,2.3,CL,1682636473
36,puerto baquerizo moreno,-0.9,-89.6,28.55,74,20,3.09,EC,1682636473
37,al kharijah,25.4514,30.5464,24.25,23,0,3.0,EG,1682636474
38,grytviken,-54.2811,-36.5092,2.38,83,44,3.54,GS,1682636474
39,margaret river,-33.95,115.0667,12.27,72,86,2.27,AU,1682636475
40,mitu,1.1983,-70.1733,23.49,93,21,0.79,CO,1682636475
41,tazovsky,67.4667,78.7,-7.2,93,100,3.66,RU,1682636475
42,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1682636475
43,garden city,42.3256,-83.331,15.59,35,38,1.34,US,1682636476
44,kirkland lake,48.1446,-80.0377,9.16,43,100,4.12,CA,1682636476
45,whitehorse,60.7161,-135.0538,7.43,43,75,6.71,CA,1682636477
46,yamba,-5.9,22.3,21.88,93,20,1.54,CD,1682636477
47,olinda,-8.0089,-34.8553,27.85,18,20,1.54,BR,1682636477
48,lingyuan,41.24,119.4011,9.67,84,100,1.27,CN,1682636478
49,adamstown,-25.066,-130.1015,23.87,65,89,2.22,PN,1682636478
50,haiku-pauwela,20.9219,-156.3051,24.54,84,42,3.13,US,1682636478
51,bilibino,68.0546,166.4372,-6.58,66,10,0.5,RU,1682636478
52,fisterra,42.9049,-9.2629,14.45,74,100,2.45,ES,1682636478
53,edinburgh of the seven seas,-37.0676,-12.3116,16.61,78,81,5.33,SH,1682636479
54,amos,48.5669,-78.1162,5.9,76,100,2.79,CA,1682636407
55,mont-dore,-22.2833,166.5833,25.0,99,83,5.35,NC,1682635904
56,aginskoye,51.1,114.53,2.03,50,15,4.74,RU,1682636479
57,kemijarvi,66.7131,27.4306,-0.8,89,45,4.86,FI,1682636480
58,bredasdorp,-34.5322,20.0403,13.54,85,7,2.44,ZA,1682636480
59,longyearbyen,78.2186,15.6401,-2.09,93,100,7.2,SJ,1682636481
60,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,45,40,2.0,RU,1682636481
61,diu,20.7141,70.9822,24.71,86,1,3.14,IN,1682636482
62,anadyr,64.75,177.4833,-8.72,78,0,4.0,RU,1682635867
63,ust'-ilimsk,58.0006,102.6619,-1.04,91,83,1.77,RU,1682636483
64,happy valley-goose bay,53.3168,-60.3315,10.17,46,75,3.09,CA,1682636484
65,tiksi,71.6872,128.8694,-7.91,86,15,0.65,RU,1682636484
66,hermanus,-34.4187,19.2345,15.6,83,17,4.99,ZA,1682636472
67,vilyuchinsk,52.9306,158.4028,4.15,66,100,12.98,RU,1682636485
68,salekhard,66.53,66.6019,-7.41,87,100,2.81,RU,1682636461
69,east london,-33.0153,27.9116,20.53,69,95,3.19,ZA,1682636486
70,rockland,41.1668,-74.0496,13.43,77,67,1.77,US,1682636486
